team,gender,senior_year,youth_level,youth_year,status
South Korea,w,2023,u20,2018,not_qualified
Spain,w,2023,u20,2018,ingested
Sweden,w,2023,u20,2018,not_qualified
Switzerland,w,2023,u20,2018,not_qualified
United States,w,2023,u20,2018,ingested
Vietnam,w,2023,u20,2018,not_qualified
Zambia,w,2023,u20,2018,not_qualified
Argentina,w,2023,u17,2012,not_qualified
Australia,w,2023,u17,2012,not_qualified
Brazil,w,2023,u17,2012,ingested
Canada,w,2023,u17,2012,ingested
China PR,w,2023,u17,2012,ingested
Colombia,w,2023,u17,2012,ingested
Costa Rica,w,2023,u17,2012,not_qualified
Denmark,w,2023,u17,2012,not_qualified
England,w,2023,u17,2012,not_qualified
France,w,2023,u17,2012,ingested
Germany,w,2023,u17,2012,ingested
Haiti,w,2023,u17,2012,not_qualified
Italy,w,2023,u17,2012,not_qualified
Jamaica,w,2023,u17,2012,not_qualified
Japan,w,2023,u17,2012,ingested
Morocco,w,2023,u17,2012,not_qualified
Netherlands,w,2023,u17,2012,not_qualified
New Zealand,w,2023,u17,2012,ingested
Nigeria,w,2023,u17,2012,ingested
Norway,w,2023,u17,2012,not_qualified
Panama,w,2023,u17,2012,not_qualified
Philippines,w,2023,u17,2012,not_qualified
Portugal,w,2023,u17,2012,not_qualified
Republic of Ireland,w,2023,u17,2012,not_qualified
South Africa,w,2023,u17,2012,not_qualified
South Korea,w,2023,u17,2012,not_qualified
Spain,w,2023,u17,2012,not_qualified
Sweden,w,2023,u17,2012,not_qualified
Switzerland,w,2023,u17,2012,not_qualified
United States,w,2023,u17,2012,ingested
Vietnam,w,2023,u17,2012,not_qualified
Zambia,w,2023,u17,2012,not_qualified
Argentina,w,2023,u17,2014,not_qualified
Australia,w,2023,u17,2014,not_qualified
Brazil,w,2023,u17,2014,not_qualified
Canada,w,2023,u17,2014,ingested
China PR,w,2023,u17,2014,ingested
Colombia,w,2023,u17,2014,ingested
Costa Rica,w,2023,u17,2014,ingested
Denmark,w,2023,u17,2014,not_qualified
England,w,2023,u17,2014,not_qualified
France,w,2023,u17,2014,not_qualified
Germany,w,2023,u17,2014,ingested
Haiti,w,2023,u17,2014,not_qualified
Italy,w,2023,u17,2014,ingested
Jamaica,w,2023,u17,2014,not_qualified
Japan,w,2023,u17,2014,ingested
Morocco,w,2023,u17,2014,not_qualified
Netherlands,w,2023,u17,2014,not_qualified
New Zealand,w,2023,u17,2014,ingested
Nigeria,w,2023,u17,2014,ingested
Norway,w,2023,u17,2014,not_qualified
Panama,w,2023,u17,2014,not_qualified
Philippines,w,2023,u17,2014,not_qualified
Portugal,w,2023,u17,2014,not_qualified
Republic of Ireland,w,2023,u17,2014,not_qualified
South Africa,w,2023,u17,2014,not_qualified
South Korea,w,2023,u17,2014,not_qualified
Spain,w,2023,u17,2014,ingested
Sweden,w,2023,u17,2014,not_qualified
Switzerland,w,2023,u17,2014,not_qualified
United States,w,2023,u17,2014,not_qualified
Vietnam,w,2023,u17,2014,not_qualified
Zambia,w,2023,u17,2014,ingested
Argentina,w,2023,u17,2016,not_qualified
Australia,w,2023,u17,2016,not_qualified
Brazil,w,2023,u17,2016,ingested
Canada,w,2023,u17,2016,ingested
China PR,w,2023,u17,2016,not_qualified
Colombia,w,2023,u17,2016,not_qualified
Costa Rica,w,2023,u17,2016,not_qualified
Denmark,w,2023,u17,2016,not_qualified
England,w,2023,u17,2016,ingested
France,w,2023,u17,2016,not_qualified
Germany,w,2023,u17,2016,ingested
Haiti,w,2023,u17,2016,not_qualified
Italy,w,2023,u17,2016,not_qualified
Jamaica,w,2023,u17,2016,not_qualified
Japan,w,2023,u17,2016,ingested
Morocco,w,2023,u17,2016,not_qualified
Netherlands,w,2023,u17,2016,not_qualified
New Zealand,w,2023,u17,2016,ingested
Nigeria,w,2023,u17,2016,ingested
Norway,w,2023,u17,2016,not_qualified
Panama,w,2023,u17,2016,not_qualified
Philippines,w,2023,u17,2016,not_qualified
Portugal,w,2023,u17,2016,not_qualified
Republic of Ireland,w,2023,u17,2016,not_qualified
South Africa,w,2023,u17,2016,not_qualified
South Korea,w,2023,u17,2016,not_qualified
Spain,w,2023,u17,2016,ingested
Sweden,w,2023,u17,2016,not_qualified
Switzerland,w,2023,u17,2016,not_qualified
United States,w,2023,u17,2016,ingested
Vietnam,w,2023,u17,2016,not_qualified
Zambia,w,2023,u17,2016,not_qualified
Argentina,w,2023,u17,2018,not_qualified
Australia,w,2023,u17,2018,not_qualified
Brazil,w,2023,u17,2018,ingested
Canada,w,2023,u17,2018,ingested
China PR,w,2023,u17,2018,not_qualified
Colombia,w,2023,u17,2018,ingested
Costa Rica,w,2023,u17,2018,not_qualified
Denmark,w,2023,u17,2018,not_qualified
England,w,2023,u17,2018,not_qualified
France,w,2023,u17,2018,not_qualified
Germany,w,2023,u17,2018,ingested
Haiti,w,2023,u17,2018,not_qualified
Italy,w,2023,u17,2018,not_qualified
Jamaica,w,2023,u17,2018,not_qualified
Japan,w,2023,u17,2018,ingested
Morocco,w,2023,u17,2018,not_qualified
Netherlands,w,2023,u17,2018,not_qualified
New Zealand,w,2023,u17,2018,ingested
Nigeria,w,2023,u17,2018,not_qualified
Norway,w,2023,u17,2018,not_qualified
Panama,w,2023,u17,2018,not_qualified
Philippines,w,2023,u17,2018,not_qualified
Portugal,w,2023,u17,2018,not_qualified
Republic of Ireland,w,2023,u17,2018,not_qualified
South Africa,w,2023,u17,2018,ingested
South Korea,w,2023,u17,2018,ingested
Spain,w,2023,u17,2018,ingested
Sweden,w,2023,u17,2018,not_qualified
Switzerland,w,2023,u17,2018,not_qualified
United States,w,2023,u17,2018,ingested
Vietnam,w,2023,u17,2018,not_qualified
Zambia,w,2023,u17,2018,not_qualified
Algeria,m,2010,u20,1999,not_qualified
Argentina,m,2010,u20,1999,ingested
Australia,m,2010,u20,1999,ingested
Brazil,m,2010,u20,1999,ingested
Cameroon,m,2010,u20,1999,ingested
Chile,m,2010,u20,1999,not_qualified
Denmark,m,2010,u20,1999,not_qualified
England,m,2010,u20,1999,ingested
France,m,2010,u20,1999,not_qualified
Germany,m,2010,u20,1999,ingested
Ghana,m,2010,u20,1999,ingested
Greece,m,2010,u20,1999,not_qualified
Honduras,m,2010,u20,1999,ingested
Italy,m,2010,u20,1999,not_qualified
Ivory Coast,m,2010,u20,1999,not_qualified
Japan,m,2010,u20,1999,ingested
Mexico,m,2010,u20,1999,ingested
Netherlands,m,2010,u20,1999,not_qualified
New Zealand,m,2010,u20,1999,not_qualified
Nigeria,m,2010,u20,1999,ingested
North Korea,m,2010,u20,1999,not_qualified
Paraguay,m,2010,u20,1999,ingested
Portugal,m,2010,u20,1999,ingested
Serbia,m,2010,u20,1999,not_qualified
Slovakia,m,2010,u20,1999,not_qualified
Slovenia,m,2010,u20,1999,not_qualified
South Africa,m,2010,u20,1999,not_qualified
South Korea,m,2010,u20,1999,ingested
Spain,m,2010,u20,1999,ingested
Switzerland,m,2010,u20,1999,not_qualified
United States,m,2010,u20,1999,ingested
Uruguay,m,2010,u20,1999,ingested
Algeria,m,2010,u20,2001,not_qualified
Argentina,m,2010,u20,2001,ingested
Australia,m,2010,u20,2001,ingested
Brazil,m,2010,u20,2001,ingested
Cameroon,m,2010,u20,2001,not_qualified
Chile,m,2010,u20,2001,ingested
Denmark,m,2010,u20,2001,not_qualified
England,m,2010,u20,2001,not_qualified
France,m,2010,u20,2001,ingested
Germany,m,2010,u20,2001,ingested
Ghana,m,2010,u20,2001,ingested
Greece,m,2010,u20,2001,not_qualified
Honduras,m,2010,u20,2001,not_qualified
Italy,m,2010,u20,2001,not_qualified
Ivory Coast,m,2010,u20,2001,not_qualified
Japan,m,2010,u20,2001,ingested
Mexico,m,2010,u20,2001,not_qualified
Netherlands,m,2010,u20,2001,ingested
New Zealand,m,2010,u20,2001,not_qualified
Nigeria,m,2010,u20,2001,not_qualified
North Korea,m,2010,u20,2001,not_qualified
Paraguay,m,2010,u20,2001,ingested
Portugal,m,2010,u20,2001,not_qualified
Serbia,m,2010,u20,2001,not_qualified
Slovakia,m,2010,u20,2001,not_qualified
Slovenia,m,2010,u20,2001,not_qualified
South Africa,m,2010,u20,2001,not_qualified
